iteration,node,k_without_i,candidate_k,vram_without_i_fraction,candidate_vram_fraction,queue_cost,memory_penalty,center_cost_increment,llm_center_cost_raw,verified_center_cost_increment,llm_numeric_within_tolerance,state_hash,state_reused_in_experiment,persistent_cache_hit,compute_impact,vram_impact,semantic_warning,model,latency_ms,resolved_model,prompt_tokens,completion_tokens,total_tokens,attempts,parse_ok
10,58,55,56,0.7803124999999999,0.7944999999999999,0.2127950397012795,0.6044130929373637,0.8172081326386431,0.8172081326386432,0.8172081326386431,1,6bd65c2ffb964c118d78b3473a99d26819bd7a0106ae308682c59c408da208f7,0,0,0.2127950397012795,0.6044130929373637,"Congestion increase from 55 to 56, VRAM load increase from 0.7803 to 0.7945, high VRAM usage.",deepseek-v4-flash,1415.956333046779,deepseek-v4-flash,329,92,421,1,True
11,19,56,57,0.7944999999999999,0.8086874999999998,0.21279507102387582,0.7066073320797012,0.919402403103577,0.919402403103577,0.919402403103577,1,a05aa7b0f63276d4aa260a8ed6c9a565b997e190913255024b19254e06240a4a,0,0,0.21279507102387582,0.7066073320797012,none,deepseek-v4-flash,1055.842375033535,deepseek-v4-flash,325,55,380,1,True
12,19,56,57,0.7944999999999999,0.8086874999999998,0.21279507102387582,0.7066073320797012,0.919402403103577,0.919402403103577,0.919402403103577,1,a05aa7b0f63276d4aa260a8ed6c9a565b997e190913255024b19254e06240a4a,1,1,0.21279507102387582,0.7066073320797012,none,deepseek-v4-flash,1055.842375033535,deepseek-v4-flash,325,55,380,1,True
13,32,56,57,0.7944999999999999,0.8086874999999998,0.21279507102387582,0.7066073320797012,0.919402403103577,0.919402403103577,0.919402403103577,1,a69c4e29055b1a559bf8a53f6a70bfaed100c76fc61194105cb9b86d06ec76b3,0,0,0.21279507102387582,0.7066073320797012,none,deepseek-v4-flash,1546.7985830036923,deepseek-v4-flash,325,61,386,1,True
14,3,57,58,0.8086874999999998,0.8228749999999998,0.2127951038379966,0.8260805855847605,1.038875689422757,1.038875689422757,1.038875689422757,1,1f5e3d85adc235628d8569c6a79c019a05d00dd8224bbe1b869193039f907fe0,0,0,0.2127951038379966,0.8260805855847605,none,deepseek-v4-flash,1102.1884999936447,deepseek-v4-flash,325,56,381,1,True
15,5,57,58,0.8086874999999998,0.8228749999999998,0.2127951038379966,0.8260805855847605,1.038875689422757,1.038875689422757,1.038875689422757,1,3b8887ab37778280b3deef9f5eed385e8bbe5128f5fad1b934f3fde216209fda,0,0,0.2127951038379966,0.8260805855847605,none,deepseek-v4-flash,1184.794208034873,deepseek-v4-flash,328,56,384,1,True
16,98,58,59,0.8228749999999998,0.8370624999999998,0.21279513825277568,0.9657543912990264,1.178549529551802,1.178549529551802,1.178549529551802,1,020fd2fc8387553bd27f342a927ea7e7c638659bf36818dc9f234c20aaadb6ce,0,0,0.21279513825277568,0.9657543912990264,High VRAM load increase (0.014187) may cause instability.,deepseek-v4-flash,1390.7441250048578,deepseek-v4-flash,328,74,402,1,True
17,90,59,60,0.8370624999999998,0.8512499999999998,0.21279517438826012,1.1290442610428042,1.3418394354310643,1.3418394354310643,1.3418394354310643,1,2cde560f731d5b77a0ffac82d09d76b072c8e7dae25c854a5dd7050c05ff1257,0,0,0.21279517438826012,1.1290442610428042,High VRAM load may cause instability,deepseek-v4-flash,1267.9121670080349,deepseek-v4-flash,328,62,390,1,True
18,98,59,60,0.8370624999999998,0.8512499999999998,0.21279517438826012,1.1290442610428042,1.3418394354310643,1.3418394354310643,1.3418394354310643,1,00fa8915248a93824b7a21982148bd7adf6eed026c80a488b052c956bde0e669,0,0,0.21279517438826012,1.1290442610428042,High VRAM load increase from 0.837 to 0.851; consider offloading.,deepseek-v4-flash,1719.8832499561831,deepseek-v4-flash,328,80,408,1,True
19,62,59,60,0.8370624999999998,0.8512499999999998,0.21279517438826012,1.1290442610428042,1.3418394354310643,1.3418394354310643,1.3418394354310643,1,9c1b4f88c34b191db9e8b061a459311b3331481ce1a7bef6a93e624fabcdccf2,0,0,0.21279517438826012,1.1290442610428042,"High VRAM load increase from 0.837 to 0.851, may cause OOM",deepseek-v4-flash,1495.0402909889817,deepseek-v4-flash,333,81,414,1,True
20,21,59,60,0.8370624999999998,0.8512499999999998,0.21279517438826012,1.1290442610428042,1.3418394354310643,1.3418394354310643,1.3418394354310643,1,acd3d9d9750eedc672503cadeb5c2a48c94c59cc7d1676a2cc33a6a0b3a21581,0,0,0.21279517438826012,1.1290442610428042,High VRAM load increase from 0.837 to 0.851; consider offloading to reduce memory pressure.,deepseek-v4-flash,1566.233625053428,deepseek-v4-flash,325,79,404,1,True
21,50,60,61,0.8512499999999998,0.8654374999999999,0.21279521237680918,1.3199432017896922,1.5327384141665013,1.5327384141665015,1.5327384141665013,1,0dd2c46ebb87c4c66157d6567f7fef3d5cdfc9f206027979b79e1111bc804daa,0,0,0.21279521237680918,1.3199432017896922,none,deepseek-v4-flash,1208.8260829914361,deepseek-v4-flash,330,62,392,1,True
22,48,60,61,0.8512499999999998,0.8654374999999999,0.21279521237680918,1.3199432017896922,1.5327384141665013,1.5327384141665015,1.5327384141665013,1,99b8e44265a99bb6b71ac95a0cc392496cd6b39d69c65be51fe977b9952e8934,0,0,0.21279521237680918,1.3199432017896922,High VRAM load increase (0.014187) may cause instability.,deepseek-v4-flash,1606.187833007425,deepseek-v4-flash,328,75,403,1,True
23,81,60,61,0.8512499999999998,0.8654374999999999,0.21279521237680918,1.3199432017896922,1.5327384141665013,1.5327384141665015,1.5327384141665013,1,1f4f59fb393c995c9ed47ed6c182277daa70429548a4df3ab514ee91fef008a6,0,0,0.21279521237680918,1.3199432017896922,none,deepseek-v4-flash,1223.67791691795,deepseek-v4-flash,325,56,381,1,True
24,18,61,62,0.8654374999999999,0.8796249999999998,0.21279525236471444,1.5431193586172167,1.7559146109819312,1.755914610981931,1.7559146109819312,1,3f1b41a108bc48115ae0e615ecfed6bc3805410f84db38327c0bb2904d87f82d,0,0,0.21279525236471444,1.5431193586172167,High VRAM load increase from 0.865 to 0.880; consider offloading.,deepseek-v4-flash,1289.6947499830276,deepseek-v4-flash,328,80,408,1,True
25,89,61,62,0.8654374999999999,0.8796249999999998,0.21279525236471444,1.5431193586172167,1.7559146109819312,1.7559146109819312,1.7559146109819312,1,b53849bd404cbda7894a082f0bed8af74429b7bc308a42c58c2b977ce06a177b,0,0,0.21279525236471444,1.5431193586172167,High VRAM load increase may cause OOM risk,deepseek-v4-flash,1372.3933750297874,deepseek-v4-flash,325,65,390,1,True
26,82,62,63,0.8796249999999998,0.8938124999999998,0.21279529451408244,1.8040301671394308,2.016825461653513,2.016825461653513,2.016825461653513,1,ac48b72ad804fa66582f34fb4e76c0ce1800242ae1c4c98e6adb3046d7534621,0,0,0.21279529451408244,1.8040301671394308,High VRAM load increase from 0.8796 to 0.8938; consider offloading.,deepseek-v4-flash,1564.500708016567,deepseek-v4-flash,325,81,406,1,True
27,98,62,63,0.8796249999999998,0.8938124999999998,0.21279529451408244,1.8040301671394308,2.016825461653513,2.016825461653513,2.016825461653513,1,3203ad251fdea8743c8a6849a192b34547ae22f65b953883dc0bdf2c466581c5,0,0,0.21279529451408244,1.8040301671394308,High VRAM load increase (from 0.8796 to 0.8938) may cause instability.,deepseek-v4-flash,1482.7482500113547,deepseek-v4-flash,328,78,406,1,True
28,72,62,63,0.8796249999999998,0.8938124999999998,0.21279529451408244,1.8040301671394308,2.016825461653513,2.016825461653513,2.016825461653513,1,8230cfb0b19d63609d74535466c80ff797cc61f210ca6268f124e6565d89aa10,0,0,0.21279529451408244,1.8040301671394308,High VRAM load (89.38%) may cause instability.,deepseek-v4-flash,1373.5299170948565,deepseek-v4-flash,325,72,397,1,True
29,3,61,62,0.8654374999999999,0.8796249999999998,0.21279525236471444,1.5431193586172167,1.7559146109819312,1.755914610981931,1.7559146109819312,1,ad2ec419b55b93f77803bf1b51cce3263486e025422cde63c1ed9b6b53d24110,0,0,0.21279525236471444,1.5431193586172167,High VRAM load increase from 0.865 to 0.880; consider offloading.,deepseek-v4-flash,1409.0011249063537,deepseek-v4-flash,325,80,405,1,True
30,43,61,62,0.8654374999999999,0.8796249999999998,0.21279525236471444,1.5431193586172167,1.7559146109819312,1.7559146109819312,1.7559146109819312,1,e15a483647278538425ee81b8e6f41918e236866fe26afd145baedcfcc5fc7bb,0,0,0.21279525236471444,1.5431193586172167,High VRAM load increase (from 0.865 to 0.880) may cause instability.,deepseek-v4-flash,1754.1429999982938,deepseek-v4-flash,325,76,401,1,True
31,77,62,63,0.8796249999999998,0.8938124999999998,0.21279529451408244,1.8040301671394308,2.016825461653513,2.016825461653513,2.016825461653513,1,49be42014b60bb1c47d7bf701e8f66604ccdd37f39652e552753d315a0108293,0,0,0.21279529451408244,1.8040301671394308,none,deepseek-v4-flash,1159.9346669390798,deepseek-v4-flash,328,56,384,1,True
32,65,61,62,0.8654374999999999,0.8796249999999998,0.21279525236471444,1.5431193586172167,1.7559146109819312,1.755914610981931,1.7559146109819312,1,e953f6c41878730735d782258954ed916a8ee7909b579dcc329124f6d9c7719a,0,0,0.21279525236471444,1.5431193586172167,High VRAM load increase from 0.865 to 0.880; consider offloading.,deepseek-v4-flash,1692.7129999967292,deepseek-v4-flash,328,80,408,1,True
33,43,61,62,0.8654374999999999,0.8796249999999998,0.21279525236471444,1.5431193586172167,1.7559146109819312,1.7559146109819312,1.7559146109819312,1,e15a483647278538425ee81b8e6f41918e236866fe26afd145baedcfcc5fc7bb,1,1,0.21279525236471444,1.5431193586172167,High VRAM load increase (from 0.865 to 0.880) may cause instability.,deepseek-v4-flash,1754.1429999982938,deepseek-v4-flash,325,76,401,1,True
34,65,61,62,0.8654374999999999,0.8796249999999998,0.21279525236471444,1.5431193586172167,1.7559146109819312,1.755914610981931,1.7559146109819312,1,e953f6c41878730735d782258954ed916a8ee7909b579dcc329124f6d9c7719a,1,1,0.21279525236471444,1.5431193586172167,High VRAM load increase from 0.865 to 0.880; consider offloading.,deepseek-v4-flash,1692.7129999967292,deepseek-v4-flash,328,80,408,1,True
35,6,61,62,0.8654374999999999,0.8796249999999998,0.21279525236471444,1.5431193586172167,1.7559146109819312,1.755914610981931,1.7559146109819312,1,3316e0a7dd4c1d4e1dc334acd98901cc67fdbabf4a1117e39bbe7bd1c26172c7,0,0,0.21279525236471444,1.5431193586172167,High VRAM load increase from 0.865 to 0.880; consider offloading.,deepseek-v4-flash,1470.1441249344498,deepseek-v4-flash,328,80,408,1,True
36,87,62,63,0.8796249999999998,0.8938124999999998,0.21279529451408244,1.8040301671394308,2.016825461653513,2.016825461653513,2.016825461653513,1,46a5d91dc9cdeeb112cbe352806087cb5c8c1dd94df20c003d464de421b74d83,0,0,0.21279529451408244,1.8040301671394308,High VRAM load increase from 0.879625 to 0.893812; consider offloading to reduce memory pressure.,deepseek-v4-flash,1598.6214160220698,deepseek-v4-flash,328,85,413,1,True
37,16,61,62,0.8654374999999999,0.8796249999999998,0.21279525236471444,1.5431193586172167,1.7559146109819312,1.755914610981931,1.7559146109819312,1,8ac022b83b37cf787922987f2a138815e2e638a52564c72730585e8c7cb92b38,0,0,0.21279525236471444,1.5431193586172167,High VRAM load increase from 86.5% to 88.0%,deepseek-v4-flash,1398.3300840482116,deepseek-v4-flash,325,78,403,1,True
38,6,60,61,0.8512499999999998,0.8654374999999999,0.21279521237680918,1.3199432017896922,1.5327384141665013,1.5327384141665015,1.5327384141665013,1,8df82c9c8542810332aac593b0aaba02fa875401ec4c20edc97130a540ca28b0,0,0,0.21279521237680918,1.3199432017896922,none,deepseek-v4-flash,1415.8692500786856,deepseek-v4-flash,328,62,390,1,True
39,47,60,61,0.8512499999999998,0.8654374999999999,0.21279521237680918,1.3199432017896922,1.5327384141665013,1.5327384141665015,1.5327384141665013,1,eb6f8a4ee9d6747d8635c943b91da857f0a4d28717f78817efddb3cd3fd72432,0,0,0.21279521237680918,1.3199432017896922,None,deepseek-v4-flash,1357.6040419284254,deepseek-v4-flash,325,61,386,1,True
40,17,60,61,0.8512499999999998,0.8654374999999999,0.21279521237680918,1.3199432017896922,1.5327384141665013,1.5327384141665015,1.5327384141665013,1,b1358b6cf87f95affff5d693125b73bf09bd5693b51eb4588ccc777c5837dc2e,0,0,0.21279521237680918,1.3199432017896922,none,deepseek-v4-flash,1502.8524580411613,deepseek-v4-flash,324,56,380,1,True
41,77,61,62,0.8654374999999999,0.8796249999999998,0.21279525236471444,1.5431193586172167,1.7559146109819312,1.755914610981931,1.7559146109819312,1,33d3b9d06ad66742ab641ad4201535158d43b31488133c3ddf54b2b0df9b2db6,0,0,0.21279525236471444,1.5431193586172167,High VRAM load increase from 86.5% to 87.96%,deepseek-v4-flash,1512.8958750283346,deepseek-v4-flash,328,78,406,1,True
42,41,61,62,0.8654374999999999,0.8796249999999998,0.21279525236471444,1.5431193586172167,1.7559146109819312,1.755914610981931,1.7559146109819312,1,c30afb6f8de4e19bc6e2f0c4b12b9daf48c663cba41300130168f1b078f8ba1e,0,0,0.21279525236471444,1.5431193586172167,High VRAM load increase from 0.865 to 0.880; consider offloading.,deepseek-v4-flash,1450.2727090148255,deepseek-v4-flash,325,80,405,1,True
43,7,62,63,0.8796249999999998,0.8938124999999998,0.21279529451408244,1.8040301671394308,2.016825461653513,2.016825461653513,2.016825461653513,1,a5b22697fee7c406785ea002052a1f93fb655953834c57b88b7fbcdffde71ef6,0,0,0.21279529451408244,1.8040301671394308,High VRAM load increase from 0.8796 to 0.8938; consider offloading.,deepseek-v4-flash,1861.7188750067726,deepseek-v4-flash,328,81,409,1,True
44,39,63,64,0.8938124999999998,0.9079999999999998,0.21279533900503114,2.109055806846652,2.321851145851683,2.321851145851683,2.321851145851683,1,2fd5d47e26873599791a0a004bb492f1be26b731e93bfbfbfa32ca5d62599675,0,0,0.21279533900503114,2.109055806846652,High VRAM load increase (0.014188) may cause instability.,deepseek-v4-flash,1360.6780410045758,deepseek-v4-flash,323,68,391,1,True
45,80,63,64,0.8938124999999998,0.9079999999999998,0.21279533900503114,2.109055806846652,2.321851145851683,2.321851145851683,2.321851145851683,1,bf559b61d4e9563c3de2df1ce6e57874bf545c436c445ae22e96a5fa9ede79d3,0,0,0.21279533900503114,2.109055806846652,"High VRAM load increase from 0.8938 to 0.908, may cause OOM risk.",deepseek-v4-flash,1216.818290995434,deepseek-v4-flash,327,76,403,1,True
46,8,63,64,0.8938124999999998,0.9079999999999998,0.21279533900503114,2.109055806846652,2.321851145851683,2.321851145851683,2.321851145851683,1,8947b782d1f5fbcb063f6bcd48819aab35ca5c1b1a757752e2f840ff5bdf9ea0,0,0,0.21279533900503114,2.109055806846652,"High VRAM load increase from 0.8938 to 0.908, may cause OOM",deepseek-v4-flash,1476.739834062755,deepseek-v4-flash,323,80,403,1,True
47,89,62,63,0.8796249999999998,0.8938124999999998,0.21279529451408244,1.8040301671394308,2.016825461653513,2.016825461653513,2.016825461653513,1,39a1ee0b6f717ffb01fae34a5ed7082cf9fa67b029a0b572af50bb3a66fe4956,0,0,0.21279529451408244,1.8040301671394308,High VRAM load increase (from 0.8796 to 0.8938) may cause instability.,deepseek-v4-flash,1764.0030840411782,deepseek-v4-flash,325,78,403,1,True
48,50,62,63,0.8796249999999998,0.8938124999999998,0.21279529451408244,1.8040301671394308,2.016825461653513,2.016825461653513,2.016825461653513,1,30595f15f6bc4b00cd9a7ee664eb5996456c344b08d5e09c3d63f75872d9b065,0,0,0.21279529451408244,1.8040301671394308,High VRAM load increase from 0.8796 to 0.8938; consider offloading to reduce memory pressure.,deepseek-v4-flash,1570.960000040941,deepseek-v4-flash,330,81,411,1,True
49,32,62,63,0.8796249999999998,0.8938124999999998,0.21279529451408244,1.8040301671394308,2.016825461653513,2.016825461653513,2.016825461653513,1,bde28ca866174f86f11f1a79570bfba8e8ea7e356f58bb21aa0da9df41e95dce,0,0,0.21279529451408244,1.8040301671394308,High VRAM load increase (from 0.8796 to 0.8938) may cause instability.,deepseek-v4-flash,1685.6239159824327,deepseek-v4-flash,325,78,403,1,True
50,77,62,63,0.8796249999999998,0.8938124999999998,0.21279529451408244,1.8040301671394308,2.016825461653513,2.016825461653513,2.016825461653513,1,49be42014b60bb1c47d7bf701e8f66604ccdd37f39652e552753d315a0108293,1,1,0.21279529451408244,1.8040301671394308,none,deepseek-v4-flash,1159.9346669390798,deepseek-v4-flash,328,56,384,1,True
51,38,62,63,0.8796249999999998,0.8938124999999998,0.21279529451408244,1.8040301671394308,2.016825461653513,2.016825461653513,2.016825461653513,1,1c2d6b1a9a89cf43d81d42a33871df597fa992801c20339713b027377150c51b,0,0,0.21279529451408244,1.8040301671394308,High VRAM load increase from 0.8796 to 0.8938; consider offloading to reduce memory pressure.,deepseek-v4-flash,1739.4307920476422,deepseek-v4-flash,328,81,409,1,True
52,14,61,62,0.8654374999999999,0.8796249999999998,0.21279525236471444,1.5431193586172167,1.7559146109819312,1.755914610981931,1.7559146109819312,1,94f8681c8e81f550cef5462a63ab0cc05ec5549d8d581eff5f7e2fb23fa5d13b,0,0,0.21279525236471444,1.5431193586172167,High VRAM load increase may cause instability,deepseek-v4-flash,1427.866791957058,deepseek-v4-flash,325,63,388,1,True
53,26,61,62,0.8654374999999999,0.8796249999999998,0.21279525236471444,1.5431193586172167,1.7559146109819312,1.755914610981931,1.7559146109819312,1,2373922e484dc1d8729ada65b4f0c6e95d77cd8f9eb2699af228db59561581e4,0,0,0.21279525236471444,1.5431193586172167,High VRAM load increase from 0.865 to 0.880; consider offloading.,deepseek-v4-flash,1674.7219579992816,deepseek-v4-flash,325,80,405,1,True
54,77,62,63,0.8796249999999998,0.8938124999999998,0.21279529451408244,1.8040301671394308,2.016825461653513,2.016825461653513,2.016825461653513,1,49be42014b60bb1c47d7bf701e8f66604ccdd37f39652e552753d315a0108293,1,1,0.21279529451408244,1.8040301671394308,none,deepseek-v4-flash,1159.9346669390798,deepseek-v4-flash,328,56,384,1,True
55,15,62,63,0.8796249999999998,0.8938124999999998,0.21279529451408244,1.8040301671394308,2.016825461653513,2.016825461653513,2.016825461653513,1,d23960173cdc3f369b367866ef067e1567d43e58db50d0d50c02835c03ce2771,0,0,0.21279529451408244,1.8040301671394308,High VRAM load increase may cause instability,deepseek-v4-flash,1793.0082910461351,deepseek-v4-flash,325,63,388,1,True
56,53,63,64,0.8938124999999998,0.9079999999999998,0.21279533900503114,2.109055806846652,2.321851145851683,2.321851145851683,2.321851145851683,1,2674690f3bc22644b139d68013ce35beae22b4eaa09428498da0dfd01b6708bf,0,0,0.21279533900503114,2.109055806846652,"High VRAM load increase from 0.8938 to 0.908, may cause OOM.",deepseek-v4-flash,1204.0451250504702,deepseek-v4-flash,323,80,403,1,True
57,40,62,63,0.8796249999999998,0.8938124999999998,0.21279529451408244,1.8040301671394308,2.016825461653513,2.016825461653513,2.016825461653513,1,9c9902394800cc43416efdef882a242893a42c669db078509b929471aab9d346,0,0,0.21279529451408244,1.8040301671394308,High VRAM load increase may cause OOM risk,deepseek-v4-flash,1450.5247910274193,deepseek-v4-flash,324,65,389,1,True
58,78,62,63,0.8796249999999998,0.8938124999999998,0.21279529451408244,1.8040301671394308,2.016825461653513,2.016825461653513,2.016825461653513,1,044e76dabebe35cc8af894fdceb37c6cef11d1278e81159b82d20726688ead0e,0,0,0.21279529451408244,1.8040301671394308,High VRAM load increase from 0.8796 to 0.8938; consider offloading to reduce memory pressure.,deepseek-v4-flash,1624.90254198201,deepseek-v4-flash,324,85,409,1,True
59,62,61,62,0.8654374999999999,0.8796249999999998,0.21279525236471444,1.5431193586172167,1.7559146109819312,1.755914610981931,1.7559146109819312,1,7d54026b6c84d5ca8c392da33c12e96fe9a63cf570daa1247476d2298fb1c5ed,0,0,0.21279525236471444,1.5431193586172167,High VRAM load increase from 0.865 to 0.880; consider offloading to reduce memory pressure.,deepseek-v4-flash,1767.2325420426205,deepseek-v4-flash,333,84,417,1,True
60,57,61,62,0.8654374999999999,0.8796249999999998,0.21279525236471444,1.5431193586172167,1.7559146109819312,1.755914610981931,1.7559146109819312,1,189947fd6f6fb7cd5d97c777275d9f0cd24c939ec725c9ad45fe5371bde97724,0,0,0.21279525236471444,1.5431193586172167,High VRAM load increase from 86.5% to 87.96% may cause instability.,deepseek-v4-flash,1804.039333947003,deepseek-v4-flash,330,81,411,1,True
61,52,62,63,0.8796249999999998,0.8938124999999998,0.21279529451408244,1.8040301671394308,2.016825461653513,2.016825461653513,2.016825461653513,1,d2b1a957922189ac71d8822610d8ca4ed7776c5dee45c0e487ccd7e210914add,0,0,0.21279529451408244,1.8040301671394308,High VRAM load increase from 0.8796 to 0.8938; consider offloading.,deepseek-v4-flash,1512.1857919730246,deepseek-v4-flash,330,81,411,1,True
62,66,62,63,0.8796249999999998,0.8938124999999998,0.21279529451408244,1.8040301671394308,2.016825461653513,2.016825461653513,2.016825461653513,1,c726e1f7d66c7649276d27d9938c581792c0201cf26a6fe2e3f067e74bcaabf0,0,0,0.21279529451408244,1.8040301671394308,High VRAM load increase from 0.8796 to 0.8938; consider offloading.,deepseek-v4-flash,1450.7714579813182,deepseek-v4-flash,333,81,414,1,True
63,46,61,62,0.8654374999999999,0.8796249999999998,0.21279525236471444,1.5431193586172167,1.7559146109819312,1.755914610981931,1.7559146109819312,1,6f46bf2b2cf99f91c6ea629a3ed0e9bce69e60a89687fc3ec9e08e24aa933ec5,0,0,0.21279525236471444,1.5431193586172167,High VRAM load increase from 0.865 to 0.880; consider offloading.,deepseek-v4-flash,1428.5884159617126,deepseek-v4-flash,333,80,413,1,True
64,67,62,63,0.8796249999999998,0.8938124999999998,0.21279529451408244,1.8040301671394308,2.016825461653513,2.016825461653513,2.016825461653513,1,8d98c87e9a3f73a8b46a79bb4cd5aef8ca6e5f5ac26b59a1e780a17f3fdc74ad,0,0,0.21279529451408244,1.8040301671394308,High VRAM load may cause OOM; consider reducing batch size or resolution.,deepseek-v4-flash,1419.4167079403996,deepseek-v4-flash,324,71,395,1,True
65,28,62,63,0.8796249999999998,0.8938124999999998,0.21279529451408244,1.8040301671394308,2.016825461653513,2.016825461653513,2.016825461653513,1,bf2e4702d7c5ee02e53c8fe2029eee0d58411a770bc61fa6e0fe0a3e1578403d,0,0,0.21279529451408244,1.8040301671394308,High VRAM load increase from 0.8796 to 0.8938; consider offloading to reduce memory pressure.,deepseek-v4-flash,1609.7409999929368,deepseek-v4-flash,328,85,413,1,True
66,30,62,63,0.8796249999999998,0.8938124999999998,0.21279529451408244,1.8040301671394308,2.016825461653513,2.016825461653513,2.016825461653513,1,d1bc77212a6fd1e06f170b8598a4cf0ee65cf9632d66c62d5b132d08809f2de3,0,0,0.21279529451408244,1.8040301671394308,High VRAM load increase from 0.8796 to 0.8938; consider offloading to reduce memory pressure.,deepseek-v4-flash,2163.8403750257567,deepseek-v4-flash,332,81,413,1,True
67,62,62,63,0.8796249999999998,0.8938124999999998,0.21279529451408244,1.8040301671394308,2.016825461653513,2.016825461653513,2.016825461653513,1,7b8267b6078d126c41a6bb472c7d1add61623762efdc2739e16db24283c97826,0,0,0.21279529451408244,1.8040301671394308,High VRAM load increase from 0.8796 to 0.8938; consider offloading to reduce memory pressure.,deepseek-v4-flash,1674.1753749083728,deepseek-v4-flash,333,85,418,1,True
68,49,62,63,0.8796249999999998,0.8938124999999998,0.21279529451408244,1.8040301671394308,2.016825461653513,2.016825461653513,2.016825461653513,1,fe6bc5799a149aa5f5ba4f9a756b132713d32fe246a3622809515c71d49f6bca,0,0,0.21279529451408244,1.8040301671394308,High VRAM load increase may cause instability,deepseek-v4-flash,1263.6534159537405,deepseek-v4-flash,328,63,391,1,True
